temp_id,title,pubmed_id,journal,year,url,abstract
11,New insights into the regulation of anthocyanin biosynthesis in fruits.,23870661,Trends in plant science. Volume: 18 Issue: 9 Sep 2013,2013,http://www.ncbi.nlm.nih.gov/pubmed/23870661/,"Anthocyanins are important health-promoting pigments that make a major contribution to the quality of fruits. The biosynthetic pathway leading to anthocyanins is well known and the key regulatory genes controlling the pathway have been isolated in many species. Recently, a considerable amount of new information has been gathered on the developmental and environmental regulation of anthocyanin biosynthesis in fruits, specifically the impact of regulation through light. New discoveries have begun to reveal links between the developmental regulatory network and the specific regulators of anthocyanin biosynthesis during fruit ripening. In this opinion article, a simplified model for the different regulatory networks involved with anthocyanin production in fruit is proposed. "
12,Cerebrospinal fluid levels of neopterin are elevated in delirium after hip fracture.,27357281,Journal of neuroinflammation. Volume: 13 Issue: 1 06 29 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27357281/,The inflammatory cell product neopterin is elevated in serum before and during delirium. This suggests a role for disordered cell-mediated immunity or oxidative stress. Cerebrospinal fluid (CSF) neopterin levels reflect brain neopterin levels more closely than serum levels. Here we hypothesized that CSF neopterin levels would be higher in delirium.
13,Norwegian midwives' use of screening for and brief interventions on alcohol use in pregnancy.,26842644,Sexual & reproductive healthcare : official journal of the Swedish Association of Midwives. Volume: 6 Issue: 3 Oct 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/26842644/,"This study assessed the current screening for and brief intervention (BI) on alcohol use in pregnancy among midwives in Norway, as well as perceived barriers for such practice."
14,Ablation effect indicated by impedance fall is correlated with contact force level during ablation for atrial fibrillation.,23865557,Journal of cardiovascular electrophysiology. Volume: 24 Issue: 11 Nov 2013,2013,http://www.ncbi.nlm.nih.gov/pubmed/23865557/,Previous studies have validated the use of impedance fall as a measure of the effects of ablation. We investigated whether catheter-to-tissue contact force correlated with impedance fall during atrial fibrillation ablation.
15,Decline in FEV1 and airflow limitation related to occupational exposures in men of an urban community.,8224123,The European respiratory journal. Volume: 6 Issue: 8 Sep 1993,1993,http://www.ncbi.nlm.nih.gov/pubmed/8224123/,"The purpose of this survey was to evaluate the effects of smoking and occupational exposures on the decline in forced expiratory volume in one second (FEV1), and the presence of airflow limitation (FEV1 x100/forced vital capacity (FVC) being < 65) at follow-up. A random sample of 1,933 men aged 22-54 years in Bergen, Norway, were invited into the survey. Smoking habits and measurements of FEV1 were recorded at the initial survey in 1965-1970 (n = 1,591) and at follow-up in 1988-1990 (n = 951). Past or present self-reported occupational exposures to eleven airborne agents (dusts, gases, vapours and fumes) and measurements of FVC were recorded at follow-up only. The decline in FEV1 was associated (p < 0.001) with age, body height and smoking. Smoking cessation reduced the decline to the level of lifetime nonsmokers. Accelerated decline in FEV1 was observed in subjects exposed to sulphur dioxide gas and to metal fumes. The adjusted decline in FEV1 increased progressively in subjects exposed to increasing numbers of occupational agents (test for trend: p < 0.01). Airflow limitation was observed in 9.5% at follow-up, and increased with age and cigarette consumption. In this community follow-up survey in men, smoking and occupational exposures to sulphur dioxide gas, metal fumes and the numbers of specific agents were found to be important predictors for accelerated decline in FEV1."
16,An empirical comparison of methods for predicting net survival.,27111414,Cancer epidemiology. Volume: 42 06 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27111414/,Providing accurate predictions of long-term net survival for recently diagnosed cancer patients is challenging due to the lack of follow-up. The aim of this study was to empirically compare predictions of net survival obtained from a flexible parametric excess hazard model to predictions obtained using the period and hybrid approaches.
17,Paraneoplastic CDR2 and CDR2L antibodies affect Purkinje cell calcium homeostasis.,25341622,Acta neuropathologica. Volume: 128 Issue: 6 Dec 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/25341622/,"Paraneoplastic cerebellar degeneration (PCD) is characterized by loss of Purkinje cells (PCs) associated with progressive pancerebellar dysfunction in the presence of onconeural Yo antibodies. These antibodies recognize the cerebellar degeneration-related antigens CDR2 and CDR2L. Response to PCD therapy is disappointing due to limited understanding of the neuropathological mechanisms. Here, we report the pathological role of CDR antibodies on the calcium homeostasis in PCs. We developed an antibody-mediated PCD model based on co-incubation of cerebellar organotypic slice culture with human patient serum or rabbit CDR2 and CDR2L antibodies. The CDR antibody-induced pathology was investigated by high-resolution multiphoton imaging and biochemical analysis. Both human and rabbit CDR antibodies were rapidly internalized by PCs and led to reduced immunoreactivity of calbindin D28K (CB) and L7/Pcp-2 as well as reduced dendritic arborizations in the remaining PCs. Washout of the CDR antibodies partially recovered CB immunoreactivity, suggesting a transient structural change in CB calcium-binding site. We discovered that CDR2 and CB co-immunoprecipitate. Furthermore, the expression levels of voltage-gated calcium channel Cav2.1, protein kinase C gamma and calcium-dependent protease, calpain-2, were increased after CDR antibody internalization. Inhibition of these signaling pathways prevented or attenuated CDR antibody-induced CB and L7/Pcp-2 immunoreactivity loss, morphological changes and increased protein expression. These results signify that CDR antibody internalization causes dysregulation of cell calcium homeostasis. Hence, drugs that modulate these events may represent novel neuroprotective therapies that limit the damaging effects of CDR antibodies and prevent PC neurodegeneration. "
18,"Cost-effectiveness analysis of an early-initiated, continuous chain of rehabilitation after severe traumatic brain injury.",24720788,Journal of neurotrauma. Volume: 31 Issue: 14 Jul 15 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/24720788/,"The aim of this study is to estimate the long-term cost-effectiveness of two different rehabilitation trajectories after severe traumatic brain injury (sTBI). A decision tree model compared hospitalization costs, health effects, and incremental cost-effectiveness ratios (ICER) of a continuous chain versus a broken chain of rehabilitation. The expected costs were estimated by the reimbursement system using diagnosis-related group and based on point estimates of the Disability Rating Scale (DRS); the health effects were measured by means of area under the curve (AUC). The incremental health benefit was estimated as the difference in the AUCs between the chains. Lower values on the DRS scale indicate better health; thus, smaller AUCs were preferred. The modeled population was a cohort of 59 patients with sTBI (30 in continuous chain; 29 in broken chain) with 6-weeks, 1-year, and 5-year post-injury follow-ups. Regarding the DRS estimates, 5-year AUCs were 19.40 (continuous chain) and 23.46 (broken chain). Across 5 years, the continuous chain of rehabilitation had lower costs and better health effects. By replacing the broken chain with the continuous chain, NOK 37.000 could be saved and 4.06 DRS points gained. By means of probabilistic sensitivity analysis, the majority of ICER estimates (67% of the Monte Carlo simulations) indicated that a continuous chain of rehabilitation was less costly and more effective. These findings indicate that the trajectory of continuous rehabilitation represents a dominant strategy in that it reduces costs and improves outcomes after sTBI under reasonable assumptions."
19,Temporal trends of perfluoroalkane sulfonic acids and their sulfonamide-based precursors in herring from the Swedish west coast 1991-2011 including isomer-specific considerations.,24468635,Environment international. Volume: 65 Apr 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/24468635/,"A method was developed for simultaneous analysis of perfluoroalkane sulfonic acids (PFSAs) and their sulfonamide-based precursors (perfluoroalkane sulfonamidoacetic acids (FASAAs), sulfonamides (FASAs), and sulfonamidoethanols (FASEs)) in fish muscle. Extraction was performed with acetonitrile followed by a clean-up and fractionation step and instrumental analysis by UPLC/MS/MS and GC/MS. Time trends of PFSAs and their precursors in herring muscle samples originating from the Kattegat at the west coast of Sweden were investigated covering the years 1991-2011. The following analytes were detected, all with decreasing or unchanged trends between 1991 and 2011: Perfluorobutane sulfonic acid (PFBS, below the method detection limit (<MDL)-10pg/g), perfluorohexane sulfonic acid (PFHxS, 9-38pg/g), perfluorooctane sulfonic acid (PFOS, 240-930pg/g), perfluorodecane sulfonic acid (PFDS, <MDL-4pg/g), N-methyl and N-ethyl perfluorooctane sulfonamidoacetic acid (MeFOSAA and EtFOSAA, 2-39 and 2-31pg/g, respectively) and perfluorooctane sulfonamide (FOSA, 78-920pg/g). The highest concentrations were found for PFOS and FOSA around the turn of the century. Shorter disappearance half-lives were observed for precursors compared to PFSAs. Assuming that these trend differences are representative for fish consumed by the general Swedish population, this observation suggests that the relative contribution of precursors to total human exposure to PFOS via fish intake has decreased in Sweden over the study period. PFOS precursors in fish may have constituted a significant indirect exposure pathway for PFOS in the 1990s. Isomer-specific analysis of PFOS and FOSA revealed <10% relative contributions of branched isomers to total PFOS and total FOSA. Furthermore, the percentage branched isomers decreased over time for both compounds. These findings are contrary to patterns and temporal trends of PFOS isomers commonly found in human serum. In combination with literature data on isomer patterns in other edible fish species and on isomer-specific human toxicokinetics, our results suggest that fish consumption alone cannot account for the PFOS isomer patterns and trends observed in humans. "
20,Sunscreen Use and Subsequent Melanoma Risk: A Population-Based Cohort Study.,27621396,Journal of clinical oncology : official journal of the American Society of Clinical Oncology. Volume: 34 Issue: 33 11 20 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27621396/,"Purpose To assess melanoma risk in relation to sunscreen use and to compare high- with low-sun protection factor (SPF) sunscreens in relation to sunbathing habits in a large cohort study. Materials and Methods We used data from the Norwegian Women and Cancer Study, a prospective population-based study of 143,844 women age 40 to 75 years at inclusion with 1,532,247 person-years of follow-up and 722 cases of melanoma. Multivariable Cox proportional hazards regression was used to estimate the association between sunscreen use (never, SPF < 15, SPF ≥ 15) and melanoma risk by calculating hazard ratios and 95% CIs. The population attributable fraction associated with sunscreen use was estimated. Results Sunscreen users reported significantly more sunburns and sunbathing vacations and were more likely to use indoor tanning devices. SPF ≥ 15 sunscreen use was associated with significantly decreased melanoma risk compared with SPF < 15 use (hazard ratio, 0.67; 95% CI, 0.53 to 0.83). The estimated decrease in melanoma (population attributable fraction) with general use of SPF ≥ 15 sunscreens by women age 40 to 75 years was 18% (95% CI, 4% to 30%). Conclusion Use of SPF ≥ 15 rather than SPF < 15 sunscreens reduces melanoma risk. Moreover, use of SPF ≥ 15 sunscreen by all women age 40 to 75 years could potentially reduce their melanoma incidence by 18%."
21,Healthy HLA-DQ2.5+ Subjects Lack Regulatory and Memory T Cells Specific for Immunodominant Gluten Epitopes of Celiac Disease.,26895834,"Journal of immunology (Baltimore, Md. : 1950). Volume: 196 Issue: 6 Mar 15 2016",2016,http://www.ncbi.nlm.nih.gov/pubmed/26895834/,"Celiac disease (CD) is an HLA-associated disorder characterized by a harmful T cell response to dietary gluten. It is not understood why most individuals who carry CD-associated HLA molecules, such as HLA-DQ2.5, do not develop CD despite continuous gluten exposure. In this study, we have used tetramers of HLA-DQ2.5 bound with immunodominant gluten epitopes to explore whether HLA-DQ2.5(+) healthy individuals mount a specific CD4(+) T cell response to gluten. We found that gluten tetramer-binding memory cells were rare in blood of healthy individuals. These cells showed lower tetramer-binding intensity and no signs of biased TCR usage compared with gluten tetramer-binding memory T cells from patients. After sorting and in vitro expansion, only 18% of the tetramer-binding memory cells from healthy subjects versus 79% in CD patients were gluten-reactive upon tetramer restaining. Further, T cell clones of tetramer-sorted memory cells of healthy individuals showed lower gluten-specific proliferative responses compared with those of CD patients, indicating that tetramer-binding memory cells in healthy control subjects may be cross-reactive T cells. In duodenal biopsy specimens of healthy control subjects, CD4(+) T cells were determined not to be gluten reactive. Finally, gluten tetramer-binding cells of healthy individuals did not coexpress regulatory T cell markers (Foxp3(+) CD25(+)) and cultured T cell clones did not express a cytokine profile that indicated immune-dampening properties. The results demonstrate that healthy HLA-DQ2.5(+) individuals do not mount a T cell response to immunodominant gluten epitopes of CD. "
22,"A 4-Day Mindfulness-Based Cognitive Behavioral Intervention Program for CFS/ME. An Open Study, With 1-Year Follow-Up.",30618889,Frontiers in psychiatry. Volume: 9 2018,2018,http://www.ncbi.nlm.nih.gov/pubmed/30618889/,"Background: Chronic Fatigue Syndrome/Myalgic Encephalopathy (CFS/ME) is an incapacitating illness in which single treatment interventions seem to have variable effects. Based on an earlier study we have conducted a new study with a concentrated intervention program. The aims of this study were to: (1) explore the clinical course for patients with CFS/ME who participated in a treatment program delivered during four consecutive days, and (2) evaluate their satisfaction with this program. Methods: 305 patients diagnosed with CFS/ME (Oxford criteria), recruited from a clinical population referred to a specialist outpatient clinic, participated in an open uncontrolled study of the clinical course through 1 year. The study group participated in a 4-day group intervention program, comprised by education, cognitive group therapy sessions, mindfulness sessions, physical activity and writing sessions, within a context of cognitive behavioral therapy, mindfulness, acceptance and commitment model. Assessments were done by self-reports prior to the first consultation, 1 week before and 1 week after the intervention program, and at 3 months and 1 year after the intervention. SPSS 23 and R 3.3 were used for statistical analyses. The associations between case definitions and the outcome measures (Chalder Fatigue Scale (FS), Short Form 36 (SF-36) physical functioning scale) were assessed by a linear mixed effects model (LME). Results: Results showed statistically significant clinical changes for 80% of the patients after the intervention, changes being sustained through 1 year after the program. For both Fatigue Scale (FS) and the SF-36 there were statistically significant effects of time from baseline to all time points with a statistically significant drop in scores, applying the linear mixed effects model. A subgroup fulfilling the inclusion criteria from the PACE study (Chalder Fatigue Scale >6/11, SF-36 Physical functioning <65/100) showed clinically significant improvement through 1 year, changes in outcome measures were statistically significant (p < 0.001). None of the patients included in the program dropped out, and a great majority of patients expressed high satisfaction with the content, focus and amount of treatment. Conclusion: Clinical changes observed from pre-treatment to 1 year follow-up could represent effects of the 4-day concentrated intervention program, and should be further explored in a controlled study."
23,PharmCalc: program for the calculation of clinical pharmacokinetic parameters of methotrexate.,3168146,Cancer chemotherapy and pharmacology. Volume: 22 Issue: 4 1988,1988,http://www.ncbi.nlm.nih.gov/pubmed/3168146/,"A new program package (PharmCalc) has been developed for the calculation of basic pharmacokinetic parameters (half-time, systemic clearance, renal clearance, AUC, volume of distribution, CSF/serum distribution ratio) of methotrexate (MTX). The program helps in the early recognition of patients at risk for toxicity and calculates the dosage of folinic acid rescue adjusted to the serum levels of MTX. The program offers a standardized and automated evaluation procedure for MTX pharmacokinetics and provides an easy-to-use tool for further research in this field. The concept and routines of the program are described."
24,Erratum to: Researching Complex Interventions in Health: The State of the Art.,27178281,BMC health services research. Volume: 16 Issue: 1 May 13 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27178281/,
25,Photo- and pH- Dual-Responsive β-Cyclodextrin-Based Supramolecular Prodrug Complex Self-Assemblies for Programmed Drug Delivery.,30311448,"Chemistry, an Asian journal. Volume: 13 Issue: 24 Dec 18 2018",2018,http://www.ncbi.nlm.nih.gov/pubmed/30311448/,"Despite the fact that progress has been made in the application of supramolecular prodrug self-assemblies to enhance the functionality of drug-delivery systems, corresponding research on multi-responsive supramolecular prodrug self-assemblies for programmed drug delivery is still limited. In this paper, the synthesis and self-assembly behavior of supramolecular prodrug complexes (SPCs) with β-cyclodextrin-acylhydrazone-doxorubicin (β-CD-hydrazone-DOX) and the targeting of azobenzene-terminated poly[2-(dimethylamino)ethyl methacrylate] (Azo-PDMA-FA) as a building block were investigated. The obtained SPCs could also form self-assemblies on the basis of their amphiphilic nature. Next, SPC-based multi-compartment vesicles and complex micelles, which were confirmed by transmission electron microscopy and dynamic/static light scattering, were obtained with good reversibility under alternative visible light or UV irradiation. Furthermore, three-stage programmed drug-delivery behavior was observed from dual-responsive SPC-based self-assemblies by utilizing UV and pH stimuli. Specifically, the SPCs first self-assembled into multicompartmental vesicles, which was accompanied by a slow release of DOX. Next, UV-light irradiation induced the dissociation of β-CD/Azo, which led to morphology transition and a slight increase in the rate of release of DOX. Upon transferring the self-assemblies to phosphate-buffer solution (pH 5.0), the release rates increased notably as a result of the broken acylhydrazone bond. Finally, basic cell experiments further demonstrated that the SPC-based self-assemblies could be internalized into cancer cells, which suggests their promise for applications in cancer therapy."
26,Calculation of wetting angles in crude oil/water/quartz systems.,15925634,Journal of colloid and interface science. Volume: 287 Issue: 2 Jul 15 2005,2005,http://www.ncbi.nlm.nih.gov/pubmed/15925634/,"A method for the determination of water-advancing wetting angles has been developed and tested. The method allows measurements in black oils, as opposed to traditional techniques which substitute transparent model oils prior to measurements. The method is based on the Laplace equation and axisymmetric drop shape analysis. The main source of error is the determination of the drop volume. Results in transparent systems are comparable to results using other techniques. Wetting angles are determined for water in two different crude oil systems, using quartz as the substrate. The quartz surfaces are water wet over large pH ranges, but it is possible to accurately identify pH intervals where the surfaces are intermediate or oil wet."
27,Diversity in subcellular targeting of the PP2A B'eta subfamily members.,19672620,Planta. Volume: 230 Issue: 5 Oct 2009,2009,http://www.ncbi.nlm.nih.gov/pubmed/19672620/,"Protein phosphatase 2A (PP2A) is a serine/threonine-specific phosphatase comprising a catalytic subunit (C), a scaffolding subunit (A), and a regulatory subunit (B). The B subunits are believed to be responsible for substrate specificity and localization of the PP2A complex. In plants, three families of B subunits exist, i.e. B (B55), B', and B''. Here, we report differential subcellular targeting within the Arabidopsis B'eta subfamily, which consists of the close homologs B'eta, B'theta, B'gamma and B'zeta. Phenotypes of corresponding knockouts were observed, and particularly revealed delayed flowering for the B'eta knockout. The B' subunits were linked to fluorescent tags and transiently expressed in various tissues of onion, tobacco and Arabidopsis. B'eta and B'gamma targeted the cytosol and nucleus. B'zeta localized to the cytoplasm and partly co-localized with mitochondrial markers when the N-terminus was free. Provided its C-terminus was free, the B'theta subunit targeted peroxisomes. The importance of the C-terminal end for peroxisomal targeting was further confirmed by truncation of the C-terminus. The results revealed that the closely related B' subunits are targeting different organelles in plants, and exemplify the usage of the peptide serine-serine-leucine as a PTS1 peroxisomal signaling peptide."
28,Polychlorinated biphenyls removal from contaminated soils using a transportable indirect thermal dryer unit: implications for emissions.,25113187,Chemosphere. Volume: 114 Nov 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/25113187/,"An assessment in China of the application of a transportable indirect thermal dryer unit for the remediation of soils contaminated with polychlorinated biphenyls (PCBs) demonstrated that it is well suited to remove PCBs from soils. A remarkable reduction of total PCBs in soils from 163-770 μg g(-1) to 0.08-0.15 μg g(-1) was achieved. This represented removal efficiencies of greater than 99.9% and an approximate 100% removal of the toxic equivalent of the PCBs. Furthermore, the emissions to the atmosphere from the unit were in compliance with current PCBs regulations. In conclusion, remediation of PCBs-contaminated soils based on a transportable indirect thermal dryer unit appears to be a highly efficient and environmentally sound treatment technology that has huge implications for cleaning thousands of regionally dispersed sites of PCBs contamination in China."
29,Bacteriological findings in nasopharynx specimens from patients with a clinical diagnosis of acute sinusitis.,11482414,Scandinavian journal of primary health care. Volume: 19 Issue: 2 Jun 2001,2001,http://www.ncbi.nlm.nih.gov/pubmed/11482414/,To study results from bacteriological specimens from nasopharynx in patients with a clinical diagnosis of acute sinusitis in relation to CT findings.
30,Respiratory gated PET/CT of the liver: A novel method and its impact on the detection of colorectal liver metastases.,26044293,European journal of radiology. Volume: 84 Issue: 8 Aug 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/26044293/,"To evaluate the diagnostic performance of a new method for respiratory gated positron emission tomography (rgPET/CT) for colorectal liver metastases (CRLM), secondly, to assess its additional value to standard PET/CT (PET/CT)."
